Opportunity,Abbr,Tier,Industry Context,Pipeline,Role Title,Opportunity Name,Opportunity Type,Listing Type,Deadline / Cycle,URL,URL Status,Review Status,Notes,Last Checked,Publish Status
The Gotham Film & Media Institute,GFMI,Tier 1,Documentary Film/Series,Development,,Gotham Week Documentary Pitch,Lab/Pitch,Static Program,Annual-Fall,https://www.thegotham.org/programs/gotham-week,OK 200,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
The Gotham Film & Media Institute,GFMI,Tier 1,Documentary Film/Series,Development,Development Assistant,Gotham Internships,Internship,Dynamic Manual,Rolling,https://www.thegotham.org/about/careers/,OK 200,NEEDS REVIEW,Careers page — visit to check current internship openings,"4/20/2026, 10:51:01 AM",DRAFT
Chicken & Egg Pictures,C&E,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Egg Grant,Grant,Static Program,Annual-Spring,https://www.chickeneggfilms.org/programs/egg-celerator-lab,OK 200,NEEDS REVIEW,Women & non-binary documentary filmmakers; confirm emerging eligibility,"4/20/2026, 10:51:01 AM",DRAFT
Chicken & Egg Pictures,C&E,Tier 1,Documentary Film/Series,Development,,Accelerator Lab,Lab/Fellowship,Static Program,Annual-Spring,https://www.chickeneggfilms.org/programs/egg-celerator-lab,OK 200,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
Kartemquin Films,KQ,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,Diverse Voices in Docs Apprenticeship,Apprenticeship,Static Program,Annual-varies,https://kartemquin.com/opportunities,DEAD 404,NEEDS REVIEW,Editorial + archival apprenticeship tracks,"4/20/2026, 10:51:01 AM",DRAFT
Kartemquin Films,KQ,Tier 2,Documentary Film/Series,Archival,Archive Assistant,KTQ Editorial Apprenticeship,Apprenticeship,Static Program,Annual-varies,https://kartemquin.com/opportunities,DEAD 404,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Hollywood Radio & TV Society,HRTS,Tier 2,Public Media,Development,Development Assistant,HRTS Fellowship Program,Fellowship,Static Program,Annual-varies,https://www.hrts.org/fellowships,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Placement in media departments; confirm doc-context pipeline fit,"4/20/2026, 10:51:01 AM",DRAFT
Story Syndicate,SS,Tier 2,Documentary Film/Series,Development,Story Researcher,Story Syndicate Story Researcher,Entry-Level Job,Dynamic Manual,Rolling,https://www.storysyndicate.com/about,OK 200,NEEDS REVIEW,Careers page — visit to check current openings,"4/20/2026, 10:51:01 AM",DRAFT
Story Syndicate,SS,Tier 2,Documentary Film/Series,Post/Editorial,Assistant Editor,Story Syndicate Assistant Editor,Entry-Level Job,Dynamic Manual,Rolling,https://www.storysyndicate.com/about,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Story Syndicate,SS,Tier 2,Documentary Film/Series,Archival,Archive Assistant,Story Syndicate Archival Assistant,Entry-Level Job,Dynamic Manual,Rolling,https://www.storysyndicate.com/about,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Imagine Documentaries,ID,Tier 2,Documentary Film/Series,Post/Editorial,Assistant Editor,Imagine Docs Assistant Editor,Entry-Level Job,Dynamic Manual,Rolling,https://www.imaginedocumentaries.com/careers,BLOCKED (alive) DNS error: https://www.imagine,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Imagine Documentaries,ID,Tier 2,Documentary Film/Series,Development,Development Assistant,Imagine Docs Development Assistant,Entry-Level Job,Dynamic Manual,Rolling,https://www.imaginedocumentaries.com/careers,BLOCKED (alive) DNS error: https://www.imagine,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Lightbox,LB,Tier 2,Documentary Film/Series,Post/Editorial,Assistant Editor,Lightbox Assistant Editor / Post Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.lightboxfilm.co.uk/about,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
This American Life,TAL,Tier 1,Narrative Podcasting,Development,Story Researcher,TAL Editorial Assistant / Researcher,Entry-Level Job,Dynamic Manual,Rolling,https://www.thisamericanlife.org/about/jobs,OK 200,NEEDS REVIEW,Careers page — visit to check current openings,"4/20/2026, 10:51:01 AM",DRAFT
This American Life,TAL,Tier 1,Narrative Podcasting,Post/Editorial,Transcription/Logging Assistant,TAL Internship,Internship,Dynamic Manual,Annual-varies,https://www.thisamericanlife.org/about/jobs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Serial Productions,SP,Tier 1,Narrative Podcasting,Post/Editorial,Edit Assistant,Serial Editorial / Research Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://serialpodcast.org/about,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
PRX,PRX,Tier 1,Narrative Podcasting,Development,,PRX Podcast Garage Fellowship,Fellowship,Static Program,Annual-varies,https://www.prx.org/podcast-garage,OK 200,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
PRX,PRX,Tier 1,Narrative Podcasting,Development,Grants/Funding Assistant,PRX Remix Grant,Grant,Static Program,Annual-varies,https://www.prx.org/programs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Radiotopia,RT,Tier 2,Narrative Podcasting,Development,Grants/Funding Assistant,Radiotopia Launch Grant,Grant,Static Program,Annual-varies,https://www.radiotopia.fm/pitch,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Library of Congress,LoC,Tier 3,Archival Media,Archival,Archive Assistant,Packard Campus Film Preservation Internship,Internship,Static Program,Annual-varies,https://www.loc.gov/careers,OK 200,NEEDS REVIEW,Film preservation focus; hard to discover — high value,"4/20/2026, 10:51:01 AM",DRAFT
Library of Congress,LoC,Tier 3,Archival Media,Archival,Archival Researcher,LOC Junior Fellows Program,Fellowship,Static Program,Annual-Spring,https://www.loc.gov/programs/junior-fellows-program/about-this-program,DEAD 404,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
National Archives (NARA),NARA,Tier 3,Archival Media,Archival,Archive Assistant,NARA Archives Technician Internship,Internship,Static Program,Rolling,https://www.archives.gov/careers,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
National Archives (NARA),NARA,Tier 3,Archival Media,Archival,Media Cataloging,NARA Digitization Traineeship,Apprenticeship,Static Program,Annual-varies,https://www.archives.gov/careers,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
UCLA Film & TV Archive,UCLA,Tier 3,Archival Media,Archival,Archive Assistant,UCLA Archive Preservation Internship,Internship,Static Program,Annual-varies,https://www.cinema.ucla.edu/about/jobs,DEAD 404,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Museum of Modern Art,MoMA,Tier 3,Archival Media,Archival,Media Cataloging,MoMA Film Media Cataloging Internship,Internship,Static Program,Annual-varies,https://www.moma.org/research/internships,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Museum of Modern Art,MoMA,Tier 3,Archival Media,Archival,Rights & Clearance Assistant,MoMA Rights & Clearance Internship,Internship,Static Program,Annual-varies,https://www.moma.org/research/internships,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Smithsonian Institution,SI-Arch,Tier 3,Archival Media,Archival,Archival Researcher,Smithsonian Fellowships & Internships,Fellowship/Internship,Static Program,Annual-Spring,https://www.smithsonianofi.com,BLOCKED (alive) Address unavailable: https://w,NEEDS REVIEW,Broad program — filter for media/film archival roles on review,"4/20/2026, 10:51:01 AM",DRAFT
CPB,CPB,Tier 1,Public Media,Development,Grants/Funding Assistant,CPB Workforce Development Grants,Grant,Static Program,Annual-varies,https://www.cpb.org/workforce-development,BLOCKED (alive) DNS error: https://www.cpb.org,NEEDS REVIEW,Workforce grants — confirm individual vs. org-level eligibility,"4/20/2026, 10:51:01 AM",DRAFT
Film Independent,FI,Tier 2,Documentary Film/Series,Development,,Film Independent Documentary Lab,Lab/Fellowship,Static Program,Annual-varies,https://www.filmindependent.org/programs/documentary-lab,DEAD 404,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
Patagonia,PAT,Tier 2,Non-Fiction Brand Storytelling,Production,Associate Producer (Junior),Patagonia Films Associate Producer,Entry-Level Job,Dynamic Manual,Rolling,https://www.patagonia.com/how-we-fund/media-grant/,OK 200,NEEDS REVIEW,Careers page — visit to check current film/production roles,"4/20/2026, 10:51:01 AM",DRAFT
Patagonia,PAT,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,Patagonia Environmental Grants,Grant,Static Program,Rolling,https://www.patagonia.com/how-we-fund-grassroots-activism.html,OK 200,NEEDS REVIEW,Environmental advocacy + storytelling grants,"4/20/2026, 10:51:01 AM",DRAFT
Red Bull Media House,RBMH,Tier 2,Non-Fiction Brand Storytelling,Production,Production Coordinator,Red Bull Media Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.redbullmediahouse.com/en/career,DEAD 404,NEEDS REVIEW,Careers page — confirm doc-context production roles on visit,"4/20/2026, 10:51:01 AM",DRAFT
National Geographic,NatGeo,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,NatGeo Society Grants for Storytellers,Grant,Static Program,Annual-varies,https://www.nationalgeographic.org/society/grants-and-investments/,OK 200,NEEDS REVIEW,Confirm individual emerging storyteller eligibility,"4/20/2026, 10:51:01 AM",DRAFT
National Geographic,NatGeo,Tier 2,Documentary Film/Series,Development,Story Researcher,LinkedIn: NatGeo Story/Research Roles,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=national%20geographic%20researcher%20documentary&f_E=1%2C2,OK 200,NEEDS REVIEW,Pre-filtered LinkedIn: Entry level. Supplements Disney ATS portal,"4/20/2026, 10:51:01 AM",DRAFT
Vice Media,VICE,Tier 2,Non-Fiction Brand Storytelling,Development,Development Coordinator,Vice Brand Studio / Doc Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/vice-media/jobs/,OK 200,NEEDS REVIEW,Careers page — visit to check current openings,"4/20/2026, 10:51:01 AM",DRAFT
The Marshall Project,TMP,Tier 2,Investigative Journalism,Development,Story Researcher,Marshall Project Editorial Fellowship,Fellowship,Static Program,Annual-varies,https://www.themarshallproject.org/jobs,OK 200,NEEDS REVIEW,Criminal justice storytelling,"4/20/2026, 10:51:01 AM",DRAFT
The Marshall Project,TMP,Tier 2,Investigative Journalism,Development,Story Researcher,Marshall Project Reporting Internship,Internship,Static Program,Annual-varies,https://www.themarshallproject.org/jobs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
The Intercept,TI,Tier 2,Investigative Journalism,Development,Story Researcher,The Intercept Investigative Reporting Fellowship,Fellowship,Static Program,Annual-varies,https://theintercept.com/jobs-at-the-intercept/,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Center for Investigative Reporting,CIR,Tier 2,Investigative Journalism,Post/Editorial,Edit Assistant,Reveal Audio Doc Fellowship,Fellowship,Static Program,Annual-varies,https://revealnews.org/about-us/jobs,DEAD 404,NEEDS REVIEW,Audio documentary editorial focus,"4/20/2026, 10:51:01 AM",DRAFT
Center for Investigative Reporting,CIR,Tier 2,Investigative Journalism,Development,Story Researcher,Reveal Reporting Internship,Internship,Static Program,Annual-varies,https://revealnews.org/about-us/jobs,DEAD 404,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Texas Tribune,TT,Tier 2,Investigative Journalism,Development,Story Researcher,Texas Tribune Journalism Fellowship,Fellowship,Static Program,Annual-varies,https://www.texastribune.org/about/jobs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
Texas Tribune,TT,Tier 2,Investigative Journalism,Development,Story Researcher,Texas Tribune Internship,Internship,Static Program,Annual-Spring,https://www.texastribune.org/about/jobs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Documentary Film/Series,Development,Story Researcher,LinkedIn: Story Researcher — Documentary,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=story%20researcher%20documentary&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level (0-2 yrs). Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Documentary Film/Series,Development,Development Assistant,LinkedIn: Development Assistant — Documentary,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=development%20assistant%20documentary&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Documentary Film/Series,Production,Production Assistant,LinkedIn: Production Assistant — Documentary,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=production%20assistant%20documentary&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Documentary Film/Series,Post/Editorial,Assistant Editor,LinkedIn: Assistant Editor — Documentary / Non-Fiction,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=assistant%20editor%20documentary&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Archival Media,Archival,Archival Researcher,LinkedIn: Archival Researcher — Film / Media,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=archival%20researcher%20film&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,LinkedIn: Impact Producer / Campaign Assistant — Documentary,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=impact%20producer%20documentary&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Narrative Podcasting,Post/Editorial,Edit Assistant,LinkedIn: Audio / Podcast Editorial Assistant,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=podcast%20editorial%20assistant%20audio&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
LinkedIn (Aggregator),LI,Tier 2,Investigative Journalism,Development,Story Researcher,LinkedIn: Research / Editorial Fellow — Journalism,Fellowship,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=editorial%20fellow%20investigative%20journalism&f_E=1%2C2,OK 200,VERIFIED,Pre-filtered: Entry level. Review listings before publishing,"4/20/2026, 10:51:01 AM",DRAFT
Indeed (Aggregator),IN,Tier 2,Documentary Film/Series,Development,Story Researcher,Indeed: Documentary Fellowship / Internship,Fellowship/Internship,Dynamic Deep Link,Rolling,https://www.indeed.com/jobs?q=documentary+fellowship+internship&jt=internship,BLOCKED (alive) Request failed for https://www,VERIFIED,Pre-filtered: Internships/fellowships only. Review before publishing,"4/20/2026, 10:51:01 AM",DRAFT
Indeed (Aggregator),IN,Tier 2,Documentary Film/Series,Production,Production Assistant,Indeed: Production Assistant — Non-Fiction / Doc,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.indeed.com/jobs?q=production+assistant+documentary+non-fiction&explvl=entry_level,BLOCKED (alive) Request failed for https://www,VERIFIED,Pre-filtered: Entry level. Review before publishing,"4/20/2026, 10:51:01 AM",DRAFT
Indeed (Aggregator),IN,Tier 2,Archival Media,Archival,Archive Assistant,Indeed: Archive / Media Cataloging Internship,Internship,Dynamic Deep Link,Rolling,https://www.indeed.com/jobs?q=archive+media+cataloging+internship&jt=internship,BLOCKED (alive) Request failed for https://www,VERIFIED,Pre-filtered: Internships only. Review before publishing,"4/20/2026, 10:51:01 AM",DRAFT
BRIC Media,BRIC,Tier 2,Documentary Film/Series,Production,Associate Producer (Junior),BRIC Film + TV Residency,Fellowship,Static Program,Annual-varies,https://www.bric.tv/programs/film-tv-residency,DEAD 404,NEEDS REVIEW,"Brooklyn-based doc residency, $2,500 stipend + production support","4/20/2026, 10:51:01 AM",DRAFT
Mountainfilm,MTF,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,Mountainfilm Emerging Filmmaker Fellowship,Fellowship,Static Program,Annual-varies,https://www.mountainfilm.org/mountainfilm-initiatives/commitment-grants,OK 200,NEEDS REVIEW,Yearlong mentorship + cash award + Telluride trip. Open July 1-16 2026,"4/20/2026, 10:51:01 AM",DRAFT
Catapult Film Fund,CFF,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Catapult Development Fund,Grant,Static Program,Annual-varies,https://catapultfilmfund.org/apply,DEAD 404,NEEDS REVIEW,Development grants for early-stage docs; confirm emerging eligibility,"4/20/2026, 10:51:01 AM",DRAFT
Field of Vision,FOV,Tier 1,Documentary Film/Series,Development,Story Researcher,Field of Vision Commissions,Entry-Level Job,Dynamic Manual,Rolling,https://fieldofvision.org/jobs,OK 200,NEEDS REVIEW,Short doc commissions unit; story researcher and production roles,"4/20/2026, 10:51:01 AM",DRAFT
Working Films,WF,Tier 2,Documentary Film/Series,Impact/Distribution,Outreach Coordinator,Working Films Internship,Internship,Dynamic Manual,Rolling,https://www.workingfilms.org/impactkickstart/,OK 200,NEEDS REVIEW,Impact/outreach org for social issue docs,"4/20/2026, 10:51:01 AM",DRAFT
XTR,XTR,Tier 2,Documentary Film/Series,Development,Development Assistant,XTR Development / Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/xtr/jobs/,OK 200,NEEDS REVIEW,Doc financing + production company; entry-level dev roles,"4/20/2026, 10:51:01 AM",DRAFT
Submarine Entertainment,SUB,Tier 2,Documentary Film/Series,Development,Development Assistant,Submarine Entertainment Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://submarine.com/about,DEAD 404,NEEDS REVIEW,Doc sales/distribution/production; dev assistant roles,"4/20/2026, 10:51:01 AM",DRAFT
Motto Pictures,MP,Tier 2,Documentary Film/Series,Production,Production Assistant,Motto Pictures Internship,Internship,Dynamic Manual,Rolling,https://www.mottopictures.com/about,DEAD 404,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
KQED,KQED,Tier 2,Public Media,Production,Production Assistant,KQED Production & Journalism Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.kqed.org/careers/internships,OK 200,NEEDS REVIEW,Major West Coast public media station; doc production unit,"4/20/2026, 10:51:01 AM",DRAFT
WBUR,WBUR,Tier 2,Public Media,Post/Editorial,Edit Assistant,WBUR Audio / Editorial Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.wbur.org/inside/newsroom-fellowship-application,OK 200,NEEDS REVIEW,Boston public radio; narrative audio + doc production,"4/20/2026, 10:51:01 AM",DRAFT
WAMU / DCist,WAMU,Tier 2,Public Media,Development,Story Researcher,WAMU Editorial Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://wamu.org/careers,OK 200,NEEDS REVIEW,DC public media; journalism fellowships and editorial roles,"4/20/2026, 10:51:01 AM",DRAFT
WNYC Studios,WNYC,Tier 1,Narrative Podcasting,Post/Editorial,Edit Assistant,WNYC Studios Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.wnycstudios.org/about/jobs,DEAD 404,NEEDS REVIEW,"Radiolab, On the Media, More Perfect; production assistant roles","4/20/2026, 10:51:01 AM",DRAFT
American Experience (WGBH),AmEx,Tier 1,Public Media,Production,Production Assistant,American Experience Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.pbs.org/wgbh/americanexperience/about/work-with-us,DEAD 404,NEEDS REVIEW,Separate unit from WGBH; flagship PBS history doc series,"4/20/2026, 10:51:01 AM",DRAFT
WORLD Channel,WORLD,Tier 2,Public Media,Development,Grants/Funding Assistant,WORLD Channel Doc Fund / Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://worldchannel.org/about/,OK 200,NEEDS REVIEW,Public media doc showcase; works with emerging filmmakers,"4/20/2026, 10:51:01 AM",DRAFT
Latino Public Broadcasting,LPB,Tier 2,Public Media,Development,Grants/Funding Assistant,LPB Development Fund,Grant,Static Program,Annual-varies,https://lpbp.org/funding,OK 200,NEEDS REVIEW,Funds and produces Latino-focused public media docs,"4/20/2026, 10:51:01 AM",DRAFT
Center for Asian American Media,CAAM,Tier 2,Public Media,Development,Story Researcher,CAAM Documentary Fellowship,Fellowship,Static Program,Annual-varies,https://caamedia.org/new-caam-fellowship/,DEAD 404,NEEDS REVIEW,"6-month mentorship for Asian American documentary filmmakers, $5k stipend","4/20/2026, 10:51:01 AM",DRAFT
